seq_ID,cnt1,cnt2,cnt3,cnt4,cnt5,opt1,opt2,opt3,opt4,opt5,fun1,fun2,fun3,fun4,fun5,file_old,file_new,min_flag
14.0,5420.0,5424.0,2327.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,2677.0,2350.0,2329.0,0.0,0.0,3rr1epo.00010,3rr1epo.00014,0.0
15.0,5531.0,3208.0,2243.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,5531.0,3313.0,2294.0,0.0,0.0,3rr1epo.00011,3rr1epo.00015,1.0
16.0,5476.0,3332.0,3236.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,4989.0,3379.0,3319.0,0.0,0.0,3rr1epo.00007,3rr1epo.00016,1.0
17.0,5531.0,3208.0,2243.0,2302.0,0.0,2.0,1.0,1.0,1.0,0.0,5531.0,3313.0,2294.0,2301.0,0.0,3rr1epo.00015,3rr1epo.00017,1.0
18.0,5531.0,3208.0,3220.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,5531.0,3313.0,3235.0,0.0,0.0,3rr1epo.00011,3rr1epo.00018,1.0
19.0,5531.0,3208.0,3220.0,2407.0,0.0,2.0,2.0,2.0,4.0,0.0,5531.0,3313.0,3235.0,2132.0,0.0,3rr1epo.00018,3rr1epo.00019,1.0
20.0,5350.0,1978.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,5350.0,1925.0,0.0,0.0,0.0,3rr1epo.00006,3rr1epo.00020,1.0
21.0,5557.0,3261.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,501.0,3314.0,0.0,0.0,0.0,3rr1epo.00002,3rr1epo.00021,1.0
22.0,5476.0,3332.0,3217.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,4989.0,3379.0,3223.0,0.0,0.0,3rr1epo.00007,3rr1epo.00022,1.0
23.0,5557.0,1880.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,501.0,1847.0,0.0,0.0,0.0,3rr1epo.00002,3rr1epo.00023,1.0
24.0,5557.0,3261.0,3229.0,0.0,0.0,4.0,2.0,2.0,0.0,0.0,501.0,3314.0,3196.0,0.0,0.0,3rr1epo.00021,3rr1epo.00024,1.0
25.0,5420.0,3192.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2677.0,3195.0,0.0,0.0,0.0,3rr1epo.00005,3rr1epo.00025,1.0
26.0,5531.0,3208.0,2243.0,3350.0,0.0,2.0,1.0,1.0,4.0,0.0,5531.0,3313.0,2294.0,3378.0,0.0,3rr1epo.00015,3rr1epo.00026,1.0
27.0,5557.0,3261.0,1970.0,0.0,0.0,4.0,2.0,4.0,0.0,0.0,501.0,3314.0,1925.0,0.0,0.0,3rr1epo.00021,3rr1epo.00027,1.0
28.0,5476.0,3332.0,3395.0,1910.0,0.0,1.0,4.0,1.0,4.0,0.0,4989.0,3379.0,3413.0,1900.0,0.0,3rr1epo.00009,3rr1epo.00028,0.0
29.0,5420.0,5424.0,3318.0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,2677.0,2350.0,1946.0,0.0,0.0,3rr1epo.00010,3rr1epo.00029,0.0
30.0,5531.0,3208.0,3220.0,2407.0,3264.0,2.0,2.0,2.0,4.0,2.0,5531.0,3313.0,3235.0,2132.0,3286.0,3rr1epo.00019,3rr1epo.00030,1.0
31.0,5531.0,3208.0,3220.0,1852.0,0.0,2.0,2.0,2.0,4.0,0.0,5531.0,3313.0,3235.0,1896.0,0.0,3rr1epo.00018,3rr1epo.00031,1.0
32.0,5350.0,3202.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,5350.0,3235.0,0.0,0.0,0.0,3rr1epo.00006,3rr1epo.00032,1.0
